topo,n,rate,pat,sent,recv,time_taken,injection_rate,sustained_rate,if_worst_latency,queue_cumu_worst_latency,sum_queueing,worst_total_latency,sa,average_latency
ld_XBAR,64,22,local,65536,65536,4981,.220,.205,24,6,689,24,.06035879048718463494,4.55747985839843750000
ld_XBAR,64,23,local,65536,65536,4786,.230,.213,24,6,768,24,.06298916544783396016,4.57043457031250000000
ld_XBAR,64,24,local,65536,65536,4527,.240,.226,28,6,932,28,.06691764919740814373,4.59281921386718750000
ld_XBAR,64,25,local,65536,65536,4392,.250,.233,28,14,1102,28,.06922683762143290831,4.61064147949218750000
ld_XBAR,64,26,local,65536,65536,4218,.260,.242,28,14,1295,28,.07243139521100047415,4.63307189941406250000
ld_XBAR,64,27,local,65536,65536,4090,.270,.250,28,14,1496,28,.07506908363895680521,4.65716552734375000000
ld_XBAR,64,29,local,65536,65536,3841,.290,.266,28,14,1889,28,.08069255510717695044,4.70265197753906250000
ld_XBAR,64,28,local,65536,65536,3973,.280,.257,28,14,1668,28,.07763176178790166960,4.67858886718750000000
ld_XBAR,64,30,local,65536,65536,3751,.300,.272,28,14,2116,28,.08298064960454989780,4.72424316406250000000
ld_XBAR,64,31,local,65536,65536,3621,.310,.282,28,14,2482,28,.08638986697965571205,4.75186157226562500000
ld_XBAR,64,32,local,65536,65536,3505,.320,.292,28,14,2838,28,.08970629755111745126,4.78079223632812500000
ld_XBAR,64,33,local,65536,65536,3324,.330,.308,28,14,3095,28,.09509752306458082631,4.80734252929687500000
ld_XBAR,64,36,local,65536,65536,3041,.360,.336,36,14,4404,36,.10578174668420475720,4.90573120117187500000
ld_XBAR,64,34,local,65536,65536,3222,.340,.317,32,14,3469,32,.09866696086799089592,4.83816528320312500000
ld_XBAR,64,35,local,65536,65536,3128,.350,.327,34,14,3817,34,.10219772351875532821,4.86769104003906250000
ld_XBAR,64,37,local,65536,65536,2957,.370,.346,36,14,5035,36,.10972286805320707924,4.95219421386718750000
ld_XBAR,64,39,local,65536,65536,2785,.390,.367,36,14,6634,36,.11822776406343506882,5.04513549804687500000
ld_XBAR,64,38,local,65536,65536,2864,.380,.357,36,14,5772,36,.11398321112662942271,4.99325561523437500000
ld_XBAR,64,40,local,65536,65536,2719,.400,.376,38,14,7421,38,.12159897174206203261,5.07809448242187500000
ld_XBAR,64,41,local,65536,65536,2652,.410,.386,50,14,8067,50,.12566478915284062342,5.12408447265625000000
